seq,wall_ts,mono_ts,can_id,is_extended,is_remote,is_error,is_local,direction,dlc,data_hex,interface
139,1786725751.9358928,617423.351004767,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
140,1786725751.9857178,617423.400852808,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
141,1786725752.035416,617423.4505286,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
142,1786725752.0854282,617423.500540809,854,0,0,0,0,BUS_RX,8,64151200F0000000,can1
143,1786725752.135447,617423.550559642,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
144,1786725752.1365633,617423.5516726,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
145,1786725752.1854615,617423.600574767,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
146,1786725752.2372258,617423.652337142,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
147,1786725752.28564,617423.700757934,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
148,1786725752.3357224,617423.751220309,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
149,1786725752.385413,617423.800525475,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
150,1786725752.386362,617423.801468225,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
151,1786725752.4353743,617423.85048585,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
152,1786725752.4886298,617423.903741934,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
153,1786725752.6458938,617424.061005767,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
154,1786725752.6591034,617424.0742166,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
155,1786725752.6601863,617424.075294267,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
156,1786725752.886302,617424.301414517,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
157,1786725752.9361537,617424.351266351,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
158,1786725752.9855833,617424.400697851,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
159,1786725753.0354807,617424.450593642,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
160,1786725753.0856912,617424.500802851,854,0,0,0,0,BUS_RX,8,64151200F0000000,can1
161,1786725753.140116,617424.555228309,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
162,1786725753.141204,617424.556313601,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
163,1786725753.185462,617424.600574684,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
164,1786725753.2353547,617424.650486101,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
165,1786725753.2853262,617424.700437601,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
166,1786725753.3353317,617424.750444517,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
167,1786725753.385553,617424.800665642,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
168,1786725753.3869898,617424.802100434,1023,0,0,0,0,BUS_RX,8,630F980000000001,can1
169,1786725753.4354122,617424.850525184,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
170,1786725753.485302,617424.900414143,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
171,1786725753.6371753,617425.052287393,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
172,1786725753.667905,617425.083017018,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
173,1786725753.668899,617425.084005976,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
174,1786725753.886306,617425.301417976,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
175,1786725753.937761,617425.352874143,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
176,1786725753.9868581,617425.401972226,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
177,1786725754.0354621,617425.450574351,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
178,1786725754.0867746,617425.501886434,854,0,0,0,0,BUS_RX,8,65151300F0000000,can1
179,1786725754.135382,617425.550496018,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
180,1786725754.1367304,617425.551844726,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
181,1786725754.1854017,617425.600514601,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
182,1786725754.235292,617425.650404768,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
183,1786725754.285398,617425.700511393,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
184,1786725754.335579,617425.750689768,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
185,1786725754.3854053,617425.800517685,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
186,1786725754.3865905,617425.801697935,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
187,1786725754.4357598,617425.850873393,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
188,1786725754.485647,617425.90076031,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
189,1786725754.635759,617426.050875393,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
190,1786725754.6603692,617426.075481768,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
191,1786725754.661537,617426.076645935,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
192,1786725754.8855643,617426.300676227,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
193,1786725754.9353147,617426.350426227,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
194,1786725754.9852898,617426.400401477,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
195,1786725755.038854,617426.453967185,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
196,1786725755.085455,617426.50056781,854,0,0,0,0,BUS_RX,8,64151100F0000000,can1
197,1786725755.135984,617426.551096393,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
198,1786725755.138099,617426.553207768,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
199,1786725755.185741,617426.600853102,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
200,1786725755.235131,617426.65024306,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
201,1786725755.2893567,617426.704470018,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
202,1786725755.3351426,617426.75025456,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
203,1786725755.3858035,617426.800917977,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
204,1786725755.3921654,617426.807277518,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
205,1786725755.4352286,617426.850341518,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
206,1786725755.4851635,617426.900275643,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
207,1786725755.6351962,617427.05030806,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
208,1786725755.6612148,617427.076329227,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
209,1786725755.6623235,617427.077431644,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
