sample_id,wall_ts,mono_ts,cell_index,voltage_v,reconstructed,source,pack_voltage_v
80,1786718039.499,609716.493441509,13,3.402,0,json:reported,54.35
80,1786718039.499,609716.493441509,14,3.393,0,json:reported,54.35
80,1786718039.499,609716.493441509,15,3.397,0,json:reported,54.35
80,1786718039.499,609716.493441509,16,3.3909999999999982,1,json:calculated,54.35
81,1786718039.499,609717.498589426,1,3.4,0,json:reported,54.35
81,1786718039.499,609717.498589426,2,3.398,0,json:reported,54.35
81,1786718039.499,609717.498589426,3,3.406,0,json:reported,54.35
81,1786718039.499,609717.498589426,4,3.404,0,json:reported,54.35
81,1786718039.499,609717.498589426,5,3.405,0,json:reported,54.35
81,1786718039.499,609717.498589426,6,3.39,0,json:reported,54.35
81,1786718039.499,609717.498589426,7,3.41,0,json:reported,54.35
81,1786718039.499,609717.498589426,8,3.389,0,json:reported,54.35
81,1786718039.499,609717.498589426,9,3.4,0,json:reported,54.35
81,1786718039.499,609717.498589426,10,3.402,0,json:reported,54.35
81,1786718039.499,609717.498589426,11,3.37,0,json:reported,54.35
81,1786718039.499,609717.498589426,12,3.393,0,json:reported,54.35
81,1786718039.499,609717.498589426,13,3.402,0,json:reported,54.35
81,1786718039.499,609717.498589426,14,3.393,0,json:reported,54.35
81,1786718039.499,609717.498589426,15,3.397,0,json:reported,54.35
81,1786718039.499,609717.498589426,16,3.3909999999999982,1,json:calculated,54.35
82,1786718039.499,609718.505311385,1,3.4,0,json:reported,54.35
82,1786718039.499,609718.505311385,2,3.398,0,json:reported,54.35
82,1786718039.499,609718.505311385,3,3.406,0,json:reported,54.35
82,1786718039.499,609718.505311385,4,3.404,0,json:reported,54.35
82,1786718039.499,609718.505311385,5,3.405,0,json:reported,54.35
82,1786718039.499,609718.505311385,6,3.39,0,json:reported,54.35
82,1786718039.499,609718.505311385,7,3.41,0,json:reported,54.35
82,1786718039.499,609718.505311385,8,3.389,0,json:reported,54.35
82,1786718039.499,609718.505311385,9,3.4,0,json:reported,54.35
82,1786718039.499,609718.505311385,10,3.402,0,json:reported,54.35
82,1786718039.499,609718.505311385,11,3.37,0,json:reported,54.35
82,1786718039.499,609718.505311385,12,3.393,0,json:reported,54.35
82,1786718039.499,609718.505311385,13,3.402,0,json:reported,54.35
82,1786718039.499,609718.505311385,14,3.393,0,json:reported,54.35
82,1786718039.499,609718.505311385,15,3.397,0,json:reported,54.35
82,1786718039.499,609718.505311385,16,3.3909999999999982,1,json:calculated,54.35
83,1786718047.547,609719.516046802,1,3.401,0,json:reported,54.36
83,1786718047.547,609719.516046802,2,3.399,0,json:reported,54.36
83,1786718047.547,609719.516046802,3,3.406,0,json:reported,54.36
83,1786718047.547,609719.516046802,4,3.404,0,json:reported,54.36
83,1786718047.547,609719.516046802,5,3.405,0,json:reported,54.36
83,1786718047.547,609719.516046802,6,3.39,0,json:reported,54.36
83,1786718047.547,609719.516046802,7,3.411,0,json:reported,54.36
83,1786718047.547,609719.516046802,8,3.389,0,json:reported,54.36
83,1786718047.547,609719.516046802,9,3.401,0,json:reported,54.36
83,1786718047.547,609719.516046802,10,3.402,0,json:reported,54.36
83,1786718047.547,609719.516046802,11,3.37,0,json:reported,54.36
83,1786718047.547,609719.516046802,12,3.393,0,json:reported,54.36
83,1786718047.547,609719.516046802,13,3.402,0,json:reported,54.36
83,1786718047.547,609719.516046802,14,3.393,0,json:reported,54.36
83,1786718047.547,609719.516046802,15,3.398,0,json:reported,54.36
83,1786718047.547,609719.516046802,16,3.396000000000001,1,json:calculated,54.36
84,1786718047.547,609720.535659511,1,3.401,0,json:reported,54.36
84,1786718047.547,609720.535659511,2,3.399,0,json:reported,54.36
84,1786718047.547,609720.535659511,3,3.406,0,json:reported,54.36
84,1786718047.547,609720.535659511,4,3.404,0,json:reported,54.36
84,1786718047.547,609720.535659511,5,3.405,0,json:reported,54.36
84,1786718047.547,609720.535659511,6,3.39,0,json:reported,54.36
84,1786718047.547,609720.535659511,7,3.411,0,json:reported,54.36
84,1786718047.547,609720.535659511,8,3.389,0,json:reported,54.36
