seq,wall_ts,mono_ts,can_id,is_extended,is_remote,is_error,dlc,data_hex,interface
2819,1786717306.6942592,608978.238978407,485490497,1,0,0,8,6699BCED57F50100,can0
2820,1786717306.6957173,608978.24043449,485490497,1,0,0,8,6699CCECEE6F0000,can0
2821,1786717306.6966326,608978.241345865,485490497,1,0,0,8,6699CBECA28B0000,can0
2822,1786717306.6997712,608978.244490657,485490497,1,0,0,8,6699DCEC16F90000,can0
2823,1786717306.7007809,608978.245496407,485490497,1,0,0,8,6699DBEC3E920000,can0
2824,1786717306.7025146,608978.247230198,485490497,1,0,0,8,6699ECEC61950000,can0
2825,1786717306.7032285,608978.247942448,485490497,1,0,0,8,6699EBEC498E0000,can0
2826,1786717306.7038853,608978.248598323,485490497,1,0,0,8,6699FBECA2550000,can0
2827,1786717306.7323008,608978.277021407,502267713,1,0,0,8,80266699501000E9,can0
2828,1786717306.7335699,608978.27828549,502267713,1,0,0,8,81000000FFFFFFFF,can0
2829,1786717306.734507,608978.279221657,502267713,1,0,0,8,828515AF14000000,can0
2830,1786717306.735292,608978.285663948,502267713,1,0,0,8,830000C002000000,can0
2831,1786717306.7434347,608978.28815149,502267713,1,0,0,8,8400350900009F01,can0
2832,1786717306.7460995,608978.290823823,502267713,1,0,0,8,858A9A1300FFFFFF,can0
2833,1786717306.7470121,608978.291725907,502267713,1,0,0,8,A0286699A0100013,can0
2834,1786717306.7477405,608978.292455698,502267713,1,0,0,8,A1002B0035003000,can0
2835,1786717306.7484186,608978.29313349,502267713,1,0,0,8,A259007C01CE027F,can0
2836,1786717306.7490642,608978.293777698,502267713,1,0,0,8,A30148055799FB98,can0
2837,1786717306.7609456,608978.305664615,502267713,1,0,0,8,A48A9A9E5CFFFFFF,can0
2838,1786717306.7618487,608978.306562865,502267713,1,0,0,8,A5FFFFFFFFFFFFFF,can0
2839,1786717306.7837307,608978.32845099,485490497,1,0,0,8,66994E0301000000,can0
2840,1786717306.8089547,608978.35367574,485490496,1,0,0,8,66998FEDFD000000,can0
2841,1786717306.859481,608978.404201448,485490496,1,0,0,8,6699BCEDB8E80100,can0
2842,1786717306.8605359,608978.405251407,485490496,1,0,0,8,6699B1EDDCAE7900,can0
2843,1786717306.863841,608978.40855624,485490496,1,0,0,8,6699CCEC774F0000,can0
2844,1786717306.8646774,608978.409391532,485490496,1,0,0,8,6699CBEC40910000,can0
2845,1786717306.8684518,608978.413171823,485490496,1,0,0,8,6699DCEC31960000,can0
2846,1786717306.8695776,608978.414292073,485490496,1,0,0,8,6699DBEC56930000,can0
2847,1786717306.8704548,608978.415170032,485490496,1,0,0,8,6699ECECCCF60000,can0
2848,1786717306.8711143,608978.415827865,485490496,1,0,0,8,6699EBEC5A8D0000,can0
2849,1786717306.8717222,608978.416435532,485490496,1,0,0,8,6699FBEC9B570000,can0
2850,1786717307.0257528,608978.570474032,485441761,1,0,0,8,669915202F030000,can0
2851,1786717307.037257,608978.58197699,485490496,1,0,0,8,669915202F030000,can0
2852,1786717307.0384312,608978.583150449,485442017,1,0,0,8,669915201B030000,can0
2853,1786717307.0464802,608978.591195865,485490497,1,0,0,8,669915201B030000,can0
2854,1786717307.047284,608978.591997365,485490657,1,0,0,8,6699FF0FAC260000,can0
2855,1786717307.0503044,608978.595022657,485490657,1,0,0,8,66991C206C3FFFFF,can0
2856,1786717307.1558955,608978.700615449,485490657,1,0,0,8,669902207B150000,can0
2857,1786717307.1589808,608978.703700824,485490657,1,0,0,8,669903204C090000,can0
2858,1786717307.179899,608978.724618407,773,0,0,0,8,0000000000000000,can0
2859,1786717307.185831,608978.73055274,775,0,0,0,8,1234567856494300,can0
2860,1786717307.2464206,608978.791141157,485490496,1,0,0,8,66998DED7C150000,can0
2861,1786717307.3831484,608978.927868365,485490657,1,0,0,8,669901207C150000,can0
2862,1786717307.384101,608978.928817199,485490657,1,0,0,8,66990E200D000000,can0
2863,1786717307.5937068,608979.138426407,435295296,1,0,0,8,007C15F5000474DC,can0
2864,1786717307.5946345,608979.139350157,435294784,1,0,0,8,A00BDC0000FFFFFF,can0
2865,1786717307.5954218,608979.140136615,435294784,1,0,0,8,A1FF4B00FFFFFFFF,can0
2866,1786717307.596141,608979.14085424,435357504,1,0,0,8,DC01600E4E0000FF,can0
2867,1786717307.5967515,608979.141463657,435294784,1,0,0,8,A00BDC0103FFFFFF,can0
2868,1786717307.5972943,608979.14200599,435294784,1,0,0,8,A1FFFFFFFFFFFFFF,can0
2869,1786717307.597808,608979.142520074,435357504,1,0,0,8,DC02B90E610000FF,can0
2870,1786717307.5982964,608979.14300874,435294784,1,0,0,8,800BDC0203FFFFFF,can0
2871,1786717307.5989013,608979.143613782,435294784,1,0,0,8,81FFFFFFFFFFFFFF,can0
2872,1786717307.5996623,608979.144375407,435357504,1,0,0,8,DC031A0EAA0000FF,can0
2873,1786717307.6010776,608979.145796699,435294784,1,0,0,8,800BDC0303FFFFFF,can0
2874,1786717307.6022363,608979.14695174,435294784,1,0,0,8,81FFFFFFFFFFFFFF,can0
2875,1786717307.6030476,608979.147764782,435357504,1,0,0,8,DC04C108000000FF,can0
2876,1786717307.6040118,608979.148726449,435294784,1,0,0,8,800BDC0403FFFFFF,can0
2877,1786717307.6049893,608979.149704365,435294784,1,0,0,8,81FFFFFFFFFFFFFF,can0
2878,1786717307.607241,608979.151957907,435357248,1,0,0,8,DCFFFC00FFFFFFFF,can0
2879,1786717307.6439488,608979.188669282,485490497,1,0,0,8,66998FEDE9000000,can0
2880,1786717307.6941497,608979.238869449,485490497,1,0,0,8,6699BCEDF7030200,can0
2881,1786717307.6954138,608979.240129949,485490497,1,0,0,8,6699CCEC05710000,can0
2882,1786717307.6961462,608979.240859199,485490497,1,0,0,8,6699CBEC848A0000,can0
2883,1786717307.6968591,608979.241573199,485490497,1,0,0,8,6699DCEC67F40000,can0
2884,1786717307.6975255,608979.242239074,485490497,1,0,0,8,6699DBEC73910000,can0
2885,1786717307.6986723,608979.243386241,485490497,1,0,0,8,6699ECECBA9E0000,can0
2886,1786717307.6993697,608979.244084241,485490497,1,0,0,8,6699EBEC148D0000,can0
2887,1786717307.7017283,608979.246455907,485490497,1,0,0,8,6699FBECA1550000,can0
2888,1786717307.7318432,608979.276563824,502267713,1,0,0,8,C0266699501000E9,can0
2889,1786717307.7333114,608979.278027824,502267713,1,0,0,8,C1000000FFFFFFFF,can0
2890,1786717307.7343447,608979.279062282,502267713,1,0,0,8,C28515AF14000000,can0
2891,1786717307.7375066,608979.282221991,502267713,1,0,0,8,C30000C002000000,can0
2892,1786717307.7383368,608979.283052324,502267713,1,0,0,8,C400350900009F01,can0
2893,1786717307.7437668,608979.288485657,502267713,1,0,0,8,C58A9A1300FFFFFF,can0
2894,1786717307.7449863,608979.289701741,502267713,1,0,0,8,E0286699A0100013,can0
2895,1786717307.7461746,608979.290888866,502267713,1,0,0,8,E1002B0035003000,can0
2896,1786717307.7473302,608979.292048199,502267713,1,0,0,8,E259007C01CE0298,can0
2897,1786717307.7482152,608979.292928741,502267713,1,0,0,8,E30148055799FB98,can0
2898,1786717307.7489514,608979.293665449,502267713,1,0,0,8,E48A9A9E5CFFFFFF,can0
2899,1786717307.7499938,608979.294710782,502267713,1,0,0,8,E5FFFFFFFFFFFFFF,can0
2900,1786717307.7760355,608979.320756032,435295297,1,0,0,8,007C15E900047407,can0
2901,1786717307.778819,608979.323534532,435294785,1,0,0,8,A00B070000FFFFFF,can0
2902,1786717307.7797189,608979.324432116,435294785,1,0,0,8,A1FF4600FFFFFFFF,can0
2903,1786717307.7803156,608979.325029157,435357505,1,0,0,8,0701DA0D510000FF,can0
2904,1786717307.7808566,608979.325569574,435294785,1,0,0,8,A00B070103FFFFFF,can0
2905,1786717307.781396,608979.326109366,435294785,1,0,0,8,A1FFFFFFFFFFFFFF,can0
2906,1786717307.7819157,608979.326629116,435357505,1,0,0,8,07028B0E9F0000FF,can0
2907,1786717307.7824414,608979.327153824,435294785,1,0,0,8,800B070203FFFFFF,can0
2908,1786717307.7830858,608979.327799324,435294785,1,0,0,8,81FFFFFFFFFFFFFF,can0
2909,1786717307.7864428,608979.331157491,435357505,1,0,0,8,07031C0E6D0000FF,can0
2910,1786717307.7872908,608979.332005324,435294785,1,0,0,8,800B070303FFFFFF,can0
2911,1786717307.7880826,608979.332796949,435294785,1,0,0,8,81FFFFFFFFFFFFFF,can0
2912,1786717307.7888498,608979.333564449,435357505,1,0,0,8,07049008000000FF,can0
2913,1786717307.7896073,608979.334322032,435294785,1,0,0,8,800B070403FFFFFF,can0
2914,1786717307.7903576,608979.335071574,435294785,1,0,0,8,81FFFFFFFFFFFFFF,can0
2915,1786717307.7911003,608979.335814157,435357249,1,0,0,8,07FFFC00FFFFFFFF,can0
2916,1786717307.7918105,608979.336525532,485442017,1,0,0,8,66990100D0EDFCFF,can0
2917,1786717307.8104281,608979.355143741,485442017,1,0,0,8,66990100DCEDFEFF,can0
2918,1786717307.8112187,608979.355933366,485442017,1,0,0,8,66990100DAEDFFFF,can0
2919,1786717307.8119495,608979.356662991,485442017,1,0,0,8,669901002720FFFF,can0
2920,1786717307.812652,608979.357364991,485490497,1,0,0,8,6699DAED00000000,can0
2921,1786717307.8133419,608979.358055491,485490497,1,0,0,8,66992720A3EC0300,can0
2922,1786717307.8140361,608979.358749616,485490497,1,0,0,8,6699DCED37110000,can0
2923,1786717307.8231285,608979.367845741,485490497,1,0,0,8,6699DDEDBD280000,can0
2924,1786717307.8240006,608979.368713699,485490497,1,0,0,8,6699D0ED38080000,can0
2925,1786717307.8251204,608979.369834449,485490496,1,0,0,8,66998FEDF5000000,can0
2926,1786717307.825873,608979.370586449,485490497,1,0,0,8,6699D1ED29010000,can0
2927,1786717307.827037,608979.371753157,485490497,1,0,0,8,6699D2ED35090000,can0
2928,1786717307.8277524,608979.372465199,485490497,1,0,0,8,6699D3EDE9000000,can0
2929,1786717307.8594716,608979.404193074,485490496,1,0,0,8,6699BCEDC7E20100,can0
2930,1786717307.8605125,608979.405227616,485490496,1,0,0,8,6699B1ED8C7E7900,can0
2931,1786717307.8615947,608979.406309741,485490496,1,0,0,8,6699CCEC06710000,can0
2932,1786717307.8623624,608979.407076616,485490496,1,0,0,8,6699CBEC808F0000,can0
2933,1786717307.8631797,608979.407893574,485490496,1,0,0,8,6699DCEC387E0000,can0
2934,1786717307.864103,608979.408818574,485490496,1,0,0,8,6699DBEC15930000,can0
2935,1786717307.8648522,608979.409565574,485490496,1,0,0,8,6699ECEC1CED0000,can0
2936,1786717307.8661585,608979.410873824,485490496,1,0,0,8,6699EBECA08C0000,can0
2937,1786717307.8671293,608979.411843282,485490496,1,0,0,8,6699FBEC87570000,can0
2938,1786717308.0291646,608979.573884032,485490657,1,0,0,8,6699FF0FAC260000,can0
2939,1786717308.0314586,608979.576173907,485490657,1,0,0,8,66991C205443FFFF,can0
2940,1786717308.1823456,608979.727065907,773,0,0,0,8,0000000000000000,can0
2941,1786717308.1840174,608979.728732574,775,0,0,0,8,1234567856494300,can0
2942,1786717308.550442,608980.095162991,485490496,1,0,0,8,66990102FC000000,can0
2943,1786717308.5512974,608980.096011366,485490496,1,0,0,8,66990A02FC000000,can0
2944,1786717308.5812674,608980.125987408,502267713,1,0,0,8,001D6699431001C2,can0
2945,1786717308.5821316,608980.126846491,502267713,1,0,0,8,010A0A00E01E0000,can0
2946,1786717308.5827577,608980.127471824,502267713,1,0,0,8,0200000000000000,can0
2947,1786717308.5833008,608980.128014366,502267713,1,0,0,8,0300000000000000,can0
2948,1786717308.583871,608980.128583991,502267713,1,0,0,8,040000FFFFFFFFFF,can0
2949,1786717308.5845473,608980.129260033,502267713,1,0,0,8,201D669942100145,can0
2950,1786717308.5855215,608980.130237824,502267713,1,0,0,8,217B1800C7480000,can0
2951,1786717308.586342,608980.131054908,502267713,1,0,0,8,2200000000000000,can0
2952,1786717308.5887845,608980.133522658,502267713,1,0,0,8,2300010000000000,can0
2953,1786717308.5902007,608980.134914491,502267713,1,0,0,8,240000FFFFFFFFFF,can0
